day,beginblock,endblock,total_lptoken,token1,token2
10,149300675,149473475,30248692,0.00000006 PBTC
11,149473475,149480609,4558020,0.00000000 PBTC
12,149480609,149653409,109544414,0.00000004 PBTC
13,149653409,149826209,159558423,0.00000007 PBTC,0.0009 EOS
14,149826209,149999009,253210153,0.00000000 PBTC,0.0007 EOS
15,149999009,150171809,253210153,0.00000015 PBTC,0.0011 EOS
16,150171809,150344609,245652519,0.00000004 PBTC,0.0002 EOS
17,150344609,150517409,109637909,0.00000000 PBTC,0.0006 EOS
18,150517409,150690209,109699429,0.00000001 PBTC,0.0002 EOS
19,150690209,150863009,109713397,0.00000004 PBTC,0.0010 EOS
20,150863009,151035809,109728269,0.00000016 PBTC,0.0009 EOS
21,151035809,151208609,109271702,0.00000056 PBTC,0.0028 EOS
22,151208609,151381409,109728269,0.00000007 PBTC,0.0004 EOS
23,151381409,151554209,7767318102,0.00001994 PBTC,0.3328 EOS
24,151554209,151727009,590270507092,0.00074963 PBTC,4.4863 EOS
25,151727009,151899809,897697840352,0.00090191 PBTC,6.6573 EOS
26,151899809,152072609,977702416443,0.00018236 PBTC,4.8853 EOS
27,152072609,152215761,702173098209,0.00026559 PBTC,4.9593 EOS
28,152215761,152388561,1002093246447,0.07987854 PBTC,507.9099 EOS
29,152388561,152516868,699023902619,0.00452682 PBTC,28.5495 EOS
30,152516868,152560201,191151778389,0.00007578 PBTC,0.5778 EOS
