owner,lptoken,lpratio,amount1,amount2,token1,token2
jiangnandizh,1296760707800,0.015344592084750145,388402314,13663493632341,0.0388 EOS,0.0013663493 DMD
jianjiandeos,18624538,2.203844831648039e-07,5578,196239949,0.0000 EOS,0.0000000196 DMD
uirbnrjyc2v2,37903775082,0.00044851603199185625,11352837,399378224802,0.0011 EOS,0.0000399378 DMD
xiaoxigua123,121592328601,0.0014388041462041307,36419010,1281173926375,0.0036 EOS,0.0001281173 DMD
bizhuan11233,2522105585,2.984411939975587e-05,755414,26574504759,0.0000 EOS,0.0000026574 DMD
daebaknaja11,2909656506653,0.03443001621870192,871492570,30657987176679,0.0871 EOS,0.0030657987 DMD
gekm25uonsti,5358120013,6.340272761665268e-05,1604849,56456552267,0.0001 EOS,0.0000056456 DMD
ieosblochain,641026260731,0.007585274929572388,191998479,6754259424254,0.0191 EOS,0.0006754259 DMD
yangnanjun22,140553197,1.663168432849495e-06,42098,1480957666,0.0000 EOS,0.0000001480 DMD
yyooww155115,2983565551437,0.035304583235393885,893629610,31436739768968,0.0893 EOS,0.0031436739 DMD
3nyb2u5udxni,2008637002,2.3768236696742288e-05,601621,21164273964,0.0000 EOS,0.0000021164 DMD
aimtftw12345,1663763562642,0.019687343270543948,498326032,17530468580010,0.0498 EOS,0.0017530468 DMD
eoskywallets,1269495168079,0.015021958477429416,380235812,13376206605429,0.0380 EOS,0.0013376206 DMD
lovetomorrow,715875815,8.470971011412888e-06,214417,7542921821,0.0000 EOS,0.0000007542 DMD
hehuanyangya,554111084105,0.006556806127828224,165965876,5838465974283,0.0165 EOS,0.0005838465 DMD
initialch123,6659913100,7.880686793229486e-05,1994759,70173070240,0.0001 EOS,0.0000070173 DMD
mingyuan5.tp,15232092286,0.00018024161383056625,4562275,160494989326,0.0004 EOS,0.0000160494 DMD
myaleonyuan1,18773562902,0.0002221478974307554,5623007,197810170854,0.0005 EOS,0.0000197810 DMD
253tthnqgqh1,31426664217,0.0003718722660963392,9412830,331131274900,0.0009 EOS,0.0000331131 DMD
eosgaulle123,72200924073,0.0008543547945108412,21625428,760754748649,0.0021 EOS,0.0000760754 DMD
eostradesman,701575264916,0.00830175235271463,210133955,7392242151638,0.0210 EOS,0.0007392242 DMD
gyztimztg4ge,30214472447,0.00035752837972836173,9049758,318358853257,0.0009 EOS,0.0000318358 DMD
wangzeyua.tp,29655821920,0.00035091785829354064,8882432,312472556832,0.0008 EOS,0.0000312472 DMD
zwmdeeos1.tp,8385075866,9.92207490476317e-05,2511475,88350479786,0.0002 EOS,0.0000088350 DMD
aaaaa1112221,666390958,7.885415834987614e-06,199595,7021517968,0.0000 EOS,0.0000007021 DMD
ah22221111ah,24299431,2.8753559106453077e-07,7278,256034223,0.0000 EOS,0.0000000256 DMD
luck.tp,84762660190,0.0010029980371941065,25387886,893113170996,0.0025 EOS,0.0000893113 DMD
luochunhi123,93690332607,0.0011086393406983986,28061878,987180792329,0.0028 EOS,0.0000987180 DMD
reimon123eos,1601991180,1.895638958877124e-05,479824,16879595560,0.0000 EOS,0.0000016879 DMD
richsingsing,748606241747,0.008858270722278258,224220548,7887790365420,0.0224 EOS,0.0007887790 DMD
waitwaitgogo,1307125054685,0.015467233582305224,391506616,13772698967461,0.0391 EOS,0.0013772698 DMD
zj3333333333,126071071879,0.0014918011935698087,37760471,1328364807384,0.0037 EOS,0.0001328364 DMD
4mxdyvoxg4b2,9048225295,0.00010706780781339545,2710100,95337842948,0.0002 EOS,0.0000095337 DMD
gu4domjzhage,144230244580,0.001706679001030606,43199458,1519701373241,0.0043 EOS,0.0001519701 DMD
penpacn12345,27924785704,0.0003304344765418581,8363957,294233260890,0.0008 EOS,0.0000294233 DMD
qiaoqiao1111,18346329597,0.00021709243827717982,5495043,193308569667,0.0005 EOS,0.0000193308 DMD
zhuyanrong12,39630238695,0.0004689453060524448,11869943,417569340897,0.0011 EOS,0.0000417569 DMD
galaxysuming,109408343285,0.001294630835341106,32769695,1152795726156,0.0032 EOS,0.0001152795 DMD
gy3tknbwgene,1297826336250,0.015357201684794933,388721489,13674721769848,0.0388 EOS,0.0013674721 DMD
johnatboid11,7678885542,9.086438662024019e-05,2299959,80909610443,0.0002 EOS,0.0000080909 DMD
praprab1a3r5,1753457953,2.0748698556878028e-05,525191,18475545589,0.0000 EOS,0.0000018475 DMD
gyzdqojugmge,2466783840,2.9189496225768946e-05,738844,25991599751,0.0000 EOS,0.0000025991 DMD
cj12345cjcww,11897790288,0.0001407867601024038,3563594,125362667808,0.0003 EOS,0.0000125362 DMD
eosotcotc111,734994664,8.697204685266754e-06,220143,7744370145,0.0000 EOS,0.0000007744 DMD
focusandview,831800885,9.842714387693885e-06,249138,8764381915,0.0000 EOS,0.0000008764 DMD
gotoswimming,1430549303291,0.016927714869896766,428474318,15073175165391,0.0428 EOS,0.0015073175 DMD
dneldnel1111,1241663374383,0.014692624376940994,371899708,13082953167339,0.0371 EOS,0.0013082953 DMD
eosrockygatz,705942173,8.353426052278108e-06,211441,7438254666,0.0000 EOS,0.0000007438 DMD
scat1terina3,14032611802,0.00016604814033164728,4203010,147856501857,0.0004 EOS,0.0000147856 DMD
senoisierors,36734579699,0.00043468092262156585,11002643,387058840374,0.0011 EOS,0.0000387058 DMD
tinselttown1,1517445,1.795595316544313e-08,454,15988763,0.0000 EOS,0.0000000015 DMD
zengfmeosqb1,83857959383,0.0009922926967572336,25116912,883580669246,0.0025 EOS,0.0000883580 DMD
fuyongquan11,123986629,1.4671359446076615e-06,37136,1306401794,0.0000 EOS,0.0000001306 DMD
gezdqojug4ge,71656244574,0.000847909592494148,21462287,755015659840,0.0021 EOS,0.0000755015 DMD
gi4tonbqgmge,19494652060,0.00023068055802086365,5838986,205408023765,0.0005 EOS,0.0000205408 DMD
ph1oqg4jk1di,53876085511,0.0006375166600258495,16136821,567672622163,0.0016 EOS,0.0000567672 DMD
prayouhang11,63677067,7.534918450189524e-07,19072,670941982,0.0000 EOS,0.0000000670 DMD
pwztp3y3vpjh,22893351505,0.0002708974278631562,6856955,241218877646,0.0006 EOS,0.0000241218 DMD
tanduoroueos,30383567172,0.00035952928056010426,9100405,320140542572,0.0009 EOS,0.0000320140 DMD
eosworld1115,4224815879114,0.04999232002345484,1265405604,44515340814129,0.1265 EOS,0.0044515340 DMD
ge2tqmrrgige,4296259621,5.083771506793357e-05,1286804,45268117410,0.0001 EOS,0.0000045268 DMD
malakatalaka,103962237,1.230186964632457e-06,31138,1095412094,0.0000 EOS,0.0000001095 DMD
penghong1122,52859267512,0.0006254846348995196,15832267,556958782538,0.0015 EOS,0.0000556958 DMD
easytoeosshk,504854498875,0.005973952095240856,151212675,5319467338226,0.0151 EOS,0.0005319467 DMD
investiqibwt,1895867305,2.2433830904233686e-05,567845,19976060882,0.0000 EOS,0.0000019976 DMD
lrhyccabcdef,9663258408,0.00011434550537226887,2894313,101818222075,0.0002 EOS,0.0000101818 DMD
kylehongmoac,194846500,2.3056220347034093e-06,58359,2053026357,0.0000 EOS,0.0000002053 DMD
liyuxuan1135,7404927381,8.762263492037171e-05,2217904,78023013428,0.0002 EOS,0.0000078023 DMD
mykey1231122,6840383313,8.094237511205132e-05,2048813,72074618916,0.0002 EOS,0.0000072074 DMD
wangwenbo123,449180098,5.315155938130974e-06,134537,4732846524,0.0000 EOS,0.0000004732 DMD
andy44444444,5952438943,7.043531388661059e-05,1782858,62718673619,0.0001 EOS,0.0000062718 DMD
defiwallet11,67821614955,0.0008025343532956367,20313749,714611569041,0.0020 EOS,0.0000714611 DMD
depurantsave,202560148583,0.002396897772994441,60670276,2134302253054,0.0060 EOS,0.0002134302 DMD
eostuo.com,26777877756,0.0003168630947788535,8020438,282148711019,0.0008 EOS,0.0000282148 DMD
intermilan32,179343656511,0.002122176617162952,53716534,1889678561356,0.0053 EOS,0.0001889678 DMD
longshao5555,577204451289,0.006830070344711396,172882740,6081792344037,0.0172 EOS,0.0006081792 DMD
oorwullie313,201453,2.3837968644913095e-09,60,2122636,0.0000 EOS,0.0000000002 DMD
zhbjmswboeos,8692063812,0.00010285334276979731,2603423,91585099573,0.0002 EOS,0.0000091585 DMD
dingweneos33,32212355696,0.00038116936707819477,9648159,339409818856,0.0009 EOS,0.0000339409 DMD
geytgojrgyge,123164708,1.4574101390715834e-06,36889,1297741513,0.0000 EOS,0.0000001297 DMD
gu3tonrwgege,409215077180,0.004842249149351229,122567010,4311749706538,0.0122 EOS,0.0004311749 DMD
haztimagenes,21227948966,0.00025119069055676676,6358138,223671139771,0.0006 EOS,0.0000223671 DMD
wenquanijl12,759186581,8.983468061293093e-06,227389,7999271533,0.0000 EOS,0.0000007999 DMD
gi2dmobxguge,15095464798,0.00017862489838082002,4521353,159055395420,0.0004 EOS,0.0000159055 DMD
kangsunghwab,606271317128,0.007174019075420781,181588770,6388059285898,0.0181 EOS,0.0006388059 DMD
lzyd12345543,297622907174,0.0035217770543112745,89143220,3135943796377,0.0089 EOS,0.0003135943 DMD
qypmsm2i5n3g,121052848508,0.0014324204688493686,36257426,1275489621806,0.0036 EOS,0.0001275489 DMD
wenyouqiyuan,124490163036,0.0014730942716426596,37286962,1311707348703,0.0037 EOS,0.0001311707 DMD
fortunately1,136321350030,0.0016130929138048887,40830607,1436368241945,0.0040 EOS,0.0001436368 DMD
ha3tcmjzgyge,865624240789,0.01024294674698559,259269468,9120766253078,0.0259 EOS,0.0009120766 DMD
richdongdong,22565787117,0.00026702135274373173,6758844,237767451409,0.0006 EOS,0.0000237767 DMD
songchao1234,34154606423,0.00040415205382437656,10229896,359874604904,0.0010 EOS,0.0000359874 DMD
aimaodeyu111,53800822091,0.0006366260666635918,16114278,566879599014,0.0016 EOS,0.0000566879 DMD
eospluser.tp,24786759020,0.00029330215202939483,7424064,261169020621,0.0007 EOS,0.0000261169 DMD
g44tkobrgege,229584256929,0.0027166745186416553,68764465,2419045405807,0.0068 EOS,0.0002419045 DMD
zhengyao1.tp,6510660862,7.70407635954882e-05,1950055,68600453958,0.0001 EOS,0.0000068600 DMD
keystarbucks,639576713,7.568122405975875e-06,191564,6738986069,0.0000 EOS,0.0000006738 DMD
kingandsword,23899063887,0.00028279804002972445,7158183,251815701443,0.0007 EOS,0.0000251815 DMD
lvbesteos333,129777,1.5356535056965578e-09,38,1367412,0.0000 EOS,0.0000000001 DMD
superw4lox11,605878976098,0.007169376497166174,181471257,6383925331859,0.0181 EOS,0.0006383925 DMD
ayilionervin,1763918486,2.0872478226410416e-05,528324,18585764402,0.0000 EOS,0.0000018585 DMD
dfoxadmin.tp,74916081,8.864832938093597e-07,22438,789363364,0.0000 EOS,0.0000000789 DMD
eoskstop1111,360766485,4.268956112624538e-06,108055,3801264597,0.0000 EOS,0.0000003801 DMD
hekey5134qih,28305896227,0.0003349441640111539,8478106,298248883181,0.0008 EOS,0.0000298248 DMD
whs333222111,1523731010875,0.018030335641822152,456383855,16054996761748,0.0456 EOS,0.0016054996 DMD
ozrvinzilofl,9250432884,0.00010946053374269185,2770665,97468430410,0.0002 EOS,0.0000097468 DMD
