day,beginblock,endblock,total_lptoken,token1,token2
1,147745475,147918275,1080539228297,246.5085 KEY,0.0576 EOS
2,147918275,148091075,109545276302712,10948.4345 KEY,1.0685 EOS
3,148091075,148263875,168850825393881,80193.6592 KEY,18.8354 EOS
4,148263875,148436675,194423951928743,33071.7550 KEY,9.8101 EOS
5,148436675,148609475,197265073533685,30934.4709 KEY,7.0247 EOS
6,148609475,148782275,190510034118400,4074.1348 KEY,2.7377 EOS
7,148782275,148955075,194934933928051,148323.8631 KEY,19.1328 EOS
8,148955075,149127875,197420508727254,62467.8449 KEY,5.9322 EOS
9,149127875,149300675,152817689112885,12531.4088 KEY,8.1677 EOS
10,149300675,149473475,135225097570378,6177.5916 KEY,0.0314 EOS
11,149473475,149480609,5429734258170,0.7182 KEY,0.0000 EOS
12,149480609,149653409,127363488205794,49157.9818 KEY,2.8874 EOS
13,149653409,149826209,151254709218611,17719.0813 KEY,10.2344 EOS
14,149826209,149999009,153159504945572,31946.6427 KEY,6.9096 EOS
15,149999009,150171809,152972860139553,59273.7454 KEY,14.0394 EOS
16,150171809,150344609,188295905099136,2101.6207 KEY,11.4114 EOS
17,150344609,150517409,136257332970212,45977.8866 KEY,18.0343 EOS
18,150517409,150690209,130228288526515,13270.7472 KEY,2.6039 EOS
19,150690209,150863009,107224218407750,7188.8217 KEY,0.0125 EOS
20,150863009,151035809,99872291568867,15377.2250 KEY,1.1118 EOS
21,151035809,151208609,99123016206250,6501.6756 KEY,0.2093 EOS
22,151208609,151381409,93341355034741,6381.3175 KEY,2.5608 EOS
23,151381409,151554209,93326977390648,6700.2789 KEY,0.3027 EOS
24,151554209,151727009,92774281347213,3384.1187 KEY,0.4777 EOS
25,151727009,151899809,77071024308188,362.1730 KEY,0.6405 EOS
26,151899809,152072609,74173618339720,5520.0007 KEY,0.1857 EOS
27,152072609,152215761,60776007040641,12923.8055 KEY,1.2595 EOS
28,152215761,152388561,82642566116176,898335.6591 KEY,216.6756 EOS
29,152388561,152516868,40748370984615,76769.2958 KEY,16.8871 EOS
30,152516868,152560201,11724008509638,1188.4680 KEY,0.9115 EOS
