day,beginblock,endblock,total_lptoken,token1,token2
1,147745475,147918275,578456089905,27.1338 EOS,68.8868 HUB
2,147918275,148091075,2204782545766,56.4512 EOS,221.6244 HUB
3,148091075,148263875,2359906822586,38.4491 EOS,60.0807 HUB
4,148263875,148436675,2440041274806,43.9064 EOS,107.2790 HUB
5,148436675,148609475,2471582469585,49.8938 EOS,115.6073 HUB
6,148609475,148782275,2534851719812,31.1541 EOS,68.0533 HUB
7,148782275,148955075,2530401110708,15.9378 EOS,56.0260 HUB
8,148955075,149127875,2514136094862,37.5576 EOS,144.1353 HUB
9,149127875,149300675,2486196754404,43.6678 EOS,84.2581 HUB
10,149300675,149473475,2507335097131,18.6140 EOS,60.3112 HUB
11,149473475,149480609,103106024640,1.1448 EOS,0.0884 HUB
12,149480609,149653409,2494256957869,6.9463 EOS,50.9588 HUB
13,149653409,149826209,2483744745568,20.3145 EOS,48.3289 HUB
14,149826209,149999009,2491284154606,10.2978 EOS,6.5266 HUB
15,149999009,150171809,2527078218483,1.8095 EOS,11.8851 HUB
16,150171809,150344609,2433807299213,14.2621 EOS,90.3085 HUB
17,150344609,150517409,2376616989358,43.4540 EOS,233.2040 HUB
18,150517409,150690209,2368621615382,11.6421 EOS,15.0122 HUB
19,150690209,150863009,2322593721883,14.8916 EOS,96.4403 HUB
20,150863009,151035809,2255331892065,4.6421 EOS,62.4717 HUB
21,151035809,151208609,2215359328277,19.2560 EOS,61.2880 HUB
22,151208609,151381409,2222173603427,11.3523 EOS,23.9027 HUB
23,151381409,151554209,2294505300747,0.9843 EOS,3.2691 HUB
24,151554209,151727009,2299774683156,6.8897 EOS,7.8054 HUB
25,151727009,151899809,2198037325868,9.7255 EOS,1.6058 HUB
26,151899809,152072609,2081883791687,42.1065 EOS,75.2226 HUB
27,152072609,152215761,1862319351571,17.9606 EOS,90.6498 HUB
28,152215761,152388561,2226556307765,1945.2729 EOS,6891.6386 HUB
29,152388561,152516868,1531063399163,204.3563 EOS,831.6446 HUB
30,152516868,152560201,501782736466,3.9562 EOS,30.4931 HUB
