day,beginblock,endblock,total_lptoken,token1,token2
1,147745475,147918275,65544854469445,30.7677 EOS,0.4457571771 DMD
2,147918275,148091075,277538655749631,77.0376 EOS,2.0372959605 DMD
3,148091075,148263875,325528151980790,72.1518 EOS,1.4097982752 DMD
4,148263875,148436675,362884361556010,40.9852 EOS,0.5473720500 DMD
5,148436675,148609475,385225656362086,30.7152 EOS,0.9028071374 DMD
6,148609475,148782275,391146093337842,43.7053 EOS,0.5299560051 DMD
7,148782275,148955075,397264671968324,20.0242 EOS,0.1504864594 DMD
8,148955075,149127875,398702563262048,32.0712 EOS,0.7270737101 DMD
9,149127875,149300675,395027458473276,113.6728 EOS,1.7498884015 DMD
10,149300675,149473475,400188766034584,17.5964 EOS,0.2875171473 DMD
11,149473475,149480609,16520034239346,0.0036 EOS,0.0037137847 DMD
12,149480609,149653409,395052545770914,7.4356 EOS,0.4239732563 DMD
13,149653409,149826209,398194807145061,21.5482 EOS,0.2989107918 DMD
14,149826209,149999009,399717529463846,6.6789 EOS,0.1887648366 DMD
15,149999009,150171809,399064564664812,11.8039 EOS,0.3958232469 DMD
16,150171809,150344609,388113771811690,74.6870 EOS,2.6699992372 DMD
17,150344609,150517409,355015400712705,30.0680 EOS,1.4939546445 DMD
18,150517409,150690209,348861420409454,14.8598 EOS,0.2846750428 DMD
19,150690209,150863009,352036949318524,42.6667 EOS,1.4012278596 DMD
20,150863009,151035809,330639931627631,25.5538 EOS,1.3051868742 DMD
21,151035809,151208609,329772073962551,31.3653 EOS,0.3825973881 DMD
22,151208609,151381409,335546373531243,14.8505 EOS,0.2169243974 DMD
23,151381409,151554209,337010119718963,5.2209 EOS,0.1823805078 DMD
24,151554209,151727009,335230460080340,12.7857 EOS,0.0934025396 DMD
25,151727009,151899809,351298188661335,0.7205 EOS,0.0743557100 DMD
26,151899809,152072609,353171086033772,15.7830 EOS,0.3761596825 DMD
27,152072609,152215761,306501557812725,27.2962 EOS,0.6370077949 DMD
28,152215761,152388561,361725916057480,1782.9662 EOS,51.6343376733 DMD
29,152388561,152516868,255944086840250,250.0694 EOS,8.6018986200 DMD
30,152516868,152560201,84509298170836,2.5312 EOS,0.0890443588 DMD
