day,beginblock,endblock,total_lptoken,token1,token2
1,147745475,147918275,78911992646702,256.3318 EOS,167.25716355 DOP
2,147918275,148091075,186366582837274,376.5337 EOS,377.26729540 DOP
3,148091075,148263875,211989848853235,324.5532 EOS,203.16568672 DOP
4,148263875,148436675,230201969847560,183.3560 EOS,145.67469128 DOP
5,148436675,148609475,252253228036528,184.4769 EOS,172.25054080 DOP
6,148609475,148782275,253179620284886,200.4783 EOS,217.23378060 DOP
7,148782275,148955075,263392403280884,134.3513 EOS,114.54824267 DOP
8,148955075,149127875,268898908844377,228.5173 EOS,224.45474703 DOP
9,149127875,149300675,261043284068233,219.4310 EOS,160.49497584 DOP
10,149300675,149473475,268499383891614,186.2303 EOS,159.94122964 DOP
11,149473475,149480609,11192892258262,16.6527 EOS,20.40906893 DOP
12,149480609,149653409,275672250494169,84.5145 EOS,67.66946799 DOP
13,149653409,149826209,292091309651802,110.6967 EOS,81.59445245 DOP
14,149826209,149999009,295103122026181,96.0498 EOS,82.27666953 DOP
15,149999009,150171809,304764727465684,90.9624 EOS,86.91758945 DOP
16,150171809,150344609,307873334378428,195.2931 EOS,222.74480613 DOP
17,150344609,150517409,280242950618373,198.1427 EOS,247.35618939 DOP
18,150517409,150690209,287422922601652,54.9361 EOS,55.83679564 DOP
19,150690209,150863009,287612867065912,52.9061 EOS,107.04624848 DOP
20,150863009,151035809,265860123832799,145.1929 EOS,291.78389971 DOP
21,151035809,151208609,230333814338131,56.0393 EOS,75.43278261 DOP
22,151208609,151381409,240929114537455,35.0266 EOS,63.72370167 DOP
23,151381409,151554209,239827636472964,55.1839 EOS,80.30138139 DOP
24,151554209,151727009,246551970342597,49.3474 EOS,65.30355563 DOP
25,151727009,151899809,244214783830245,29.1109 EOS,39.25373464 DOP
26,151899809,152072609,248971171271242,87.3254 EOS,105.63264593 DOP
27,152072609,152215761,226946865206755,162.9549 EOS,156.74545986 DOP
28,152215761,152388561,315401303047812,3603.3815 EOS,5249.02843058 DOP
29,152388561,152516868,204926229281129,397.3670 EOS,689.97502871 DOP
30,152516868,152560201,64385387580218,21.1402 EOS,30.82609105 DOP
