day,beginblock,endblock,total_lptoken,token1,token2
1,147745475,147918275,36976630107,0.5928 EOS,5.6347 OGX
2,147918275,148091075,3405362217543,37.4356 EOS,295.7891 OGX
3,148091075,148263875,4597410115999,33.7852 EOS,177.8382 OGX
4,148263875,148436675,5369639330453,30.1557 EOS,361.9077 OGX
5,148436675,148609475,5668376251621,44.9528 EOS,149.2017 OGX
6,148609475,148782275,5359364030808,27.1269 EOS,68.6431 OGX
7,148782275,148955075,5165926149955,14.3727 EOS,72.0771 OGX
8,148955075,149127875,5361303378065,45.2872 EOS,521.2229 OGX
9,149127875,149300675,5223166211135,158.7724 EOS,1789.1350 OGX
10,149300675,149473475,5585209417837,80.0347 EOS,585.0126 OGX
11,149473475,149480609,226765450470,6.0117 EOS,42.1036 OGX
12,149480609,149653409,5323526101110,23.0664 EOS,129.4449 OGX
13,149653409,149826209,5373009344145,13.6936 EOS,127.1314 OGX
14,149826209,149999009,5265929473574,31.4627 EOS,353.9970 OGX
15,149999009,150171809,4971790588736,13.9302 EOS,165.2816 OGX
16,150171809,150344609,5057202063849,123.9956 EOS,1729.4344 OGX
17,150344609,150517409,4080622947390,37.0099 EOS,613.7230 OGX
18,150517409,150690209,4371514739999,10.1553 EOS,130.7464 OGX
19,150690209,150863009,4384917435317,16.9057 EOS,329.3176 OGX
20,150863009,151035809,3486601489742,39.6405 EOS,642.6281 OGX
21,151035809,151208609,3257301922800,10.4185 EOS,78.7080 OGX
22,151208609,151381409,3424390067181,8.6593 EOS,145.6123 OGX
23,151381409,151554209,3496042488853,25.7680 EOS,343.7237 OGX
24,151554209,151727009,3480668821643,16.5466 EOS,341.0709 OGX
25,151727009,151899809,3454939609390,23.3433 EOS,116.0483 OGX
26,151899809,152072609,3303531123107,15.0982 EOS,209.9276 OGX
27,152072609,152215761,2572838753454,3.7061 EOS,48.6870 OGX
28,152215761,152388561,3158898508347,234.1423 EOS,3037.5578 OGX
29,152388561,152516868,2307089193635,19.6009 EOS,222.8413 OGX
30,152516868,152560201,780619071419,3.9844 EOS,15.9681 OGX
