day,beginblock,endblock,total_lptoken,token1,token2
1,147745475,147918275,751702879772,7.5830 EOS,7.4833 DEOS
2,147918275,148091075,5111192517525,247.8136 EOS,250.0136 DEOS
3,148091075,148263875,6782392759109,75.6919 EOS,71.2917 DEOS
4,148263875,148436675,8638330343183,29.4265 EOS,28.0314 DEOS
5,148436675,148609475,9745169918656,61.6620 EOS,64.7148 DEOS
6,148609475,148782275,10181765361350,22.3236 EOS,18.7956 DEOS
7,148782275,148955075,11106964978631,4.2460 EOS,8.3898 DEOS
8,148955075,149127875,11345139908670,18.4640 EOS,20.6673 DEOS
9,149127875,149300675,9972102018018,27.4408 EOS,29.6856 DEOS
10,149300675,149473475,9210032313210,2.3920 EOS,2.4288 DEOS
11,149473475,149480609,374312806666,0.0000 EOS,0.0000 DEOS
12,149480609,149653409,8942631891289,18.8374 EOS,18.7277 DEOS
13,149653409,149826209,9071012169466,13.8355 EOS,13.7760 DEOS
14,149826209,149999009,9001681287973,12.1694 EOS,11.7094 DEOS
15,149999009,150171809,9011514874779,1.7159 EOS,1.8970 DEOS
16,150171809,150344609,8924040726918,7.1039 EOS,4.5659 DEOS
17,150344609,150517409,8141508865692,1.7229 EOS,4.0050 DEOS
18,150517409,150690209,7828844722468,5.4332 EOS,5.5279 DEOS
19,150690209,150863009,7546521303832,17.6243 EOS,17.4962 DEOS
20,150863009,151035809,7462050977452,13.0444 EOS,13.2168 DEOS
21,151035809,151208609,7397451938320,15.8883 EOS,14.9898 DEOS
22,151208609,151381409,7200876950101,4.8561 EOS,5.7169 DEOS
23,151381409,151554209,6728624806832,4.4982 EOS,2.9619 DEOS
24,151554209,151727009,6402969851460,13.1513 EOS,13.1578 DEOS
25,151727009,151899809,6252083008558,0.7121 EOS,1.7850 DEOS
26,151899809,152072609,4387927221613,30.9668 EOS,30.9772 DEOS
27,152072609,152215761,2729114601784,10.7588 EOS,10.5455 DEOS
28,152215761,152388561,3092843057708,2.6812 EOS,2.8536 DEOS
29,152388561,152516868,2134887805545,0.1050 EOS,0.0783 DEOS
30,152516868,152560201,678801855272,0.7056 EOS,0.6143 DEOS
