day,beginblock,endblock,total_lptoken,token1,token2
1,147745475,147918275,208661501804,2.5280 EOS,6.6165 USDT
2,147918275,148091075,6876176401995,48.2312 EOS,131.3591 USDT
3,148091075,148263875,11147938738761,82.2799 EOS,205.1891 USDT
4,148263875,148436675,13356439701355,69.0668 EOS,314.6623 USDT
5,148436675,148609475,15387237687142,57.6978 EOS,144.2428 USDT
6,148609475,148782275,15497222920428,42.4012 EOS,75.7617 USDT
7,148782275,148955075,16435539336163,69.2036 EOS,158.4212 USDT
8,148955075,149127875,17041842835290,50.4111 EOS,237.7990 USDT
9,149127875,149300675,18085915931440,71.0862 EOS,106.4472 USDT
10,149300675,149473475,18388323540545,79.4906 EOS,277.5426 USDT
11,149473475,149480609,752685157621,40.4185 EOS,54.5020 USDT
12,149480609,149653409,17699008226917,61.7302 EOS,158.6586 USDT
13,149653409,149826209,17432949042570,113.1160 EOS,122.9368 USDT
14,149826209,149999009,17135505146113,31.5886 EOS,100.9344 USDT
15,149999009,150171809,15350031723857,50.1035 EOS,72.3074 USDT
16,150171809,150344609,14949785604184,51.7327 EOS,117.9215 USDT
17,150344609,150517409,13684816688571,151.4664 EOS,219.8217 USDT
18,150517409,150690209,12674679358573,58.9908 EOS,115.1111 USDT
19,150690209,150863009,11468933683931,32.9832 EOS,126.4638 USDT
20,150863009,151035809,11902807883342,61.5825 EOS,270.6791 USDT
21,151035809,151208609,9056423016216,37.8870 EOS,161.4647 USDT
22,151208609,151381409,8835728423066,75.3986 EOS,129.5849 USDT
23,151381409,151554209,8903591626796,66.4696 EOS,182.8124 USDT
24,151554209,151727009,8740618185297,46.5174 EOS,96.4755 USDT
25,151727009,151899809,8784777577065,11.8476 EOS,31.5416 USDT
26,151899809,152072609,6929181137080,29.9647 EOS,55.3117 USDT
27,152072609,152215761,5345500466939,25.7660 EOS,62.2599 USDT
28,152215761,152388561,7744670133606,3349.6341 EOS,8433.5344 USDT
29,152388561,152516868,4737756895278,64.2224 EOS,154.8110 USDT
30,152516868,152560201,1540927186810,7.8920 EOS,20.3775 USDT
