day,beginblock,endblock,total_lptoken,token1,token2
2,147918275,148091075,628648404,0.0440 EOS
3,148091075,148263875,397824563612,7.2394 EOS,334.4996 WOOL
4,148263875,148436675,355709257517,3.2958 EOS,120.6776 WOOL
5,148436675,148609475,372410021853,1.3617 EOS,105.1008 WOOL
6,148609475,148782275,389471384002,1.8952 EOS,153.2324 WOOL
7,148782275,148955075,377873935734,2.3286 EOS,94.0330 WOOL
8,148955075,149127875,365972737508,15.6796 EOS,427.2774 WOOL
9,149127875,149300675,833000358012,13.6528 EOS,412.4836 WOOL
10,149300675,149473475,963562355262,6.6832 EOS,122.4449 WOOL
11,149473475,149480609,40084744213,0.0640 EOS,13.7804 WOOL
12,149480609,149653409,1002145544598,4.7457 EOS,169.9420 WOOL
13,149653409,149826209,1058205554687,3.7604 EOS,138.1850 WOOL
14,149826209,149999009,1102908702225,4.2118 EOS,48.8737 WOOL
15,149999009,150171809,1134671577131,2.1077 EOS,82.9509 WOOL
16,150171809,150344609,1173643440496,2.5472 EOS,178.0522 WOOL
17,150344609,150517409,1077753352991,1.5493 EOS,298.9527 WOOL
18,150517409,150690209,1008161039914,3.0540 EOS,10.0793 WOOL
19,150690209,150863009,984670465072,2.9154 EOS,430.9457 WOOL
20,150863009,151035809,971451064861,3.0652 EOS,61.3014 WOOL
21,151035809,151208609,899492015991,0.2212 EOS,19.0606 WOOL
22,151208609,151381409,901810445854,0.1141 EOS,10.9225 WOOL
23,151381409,151554209,907497130430,0.0420 EOS,9.0062 WOOL
24,151554209,151727009,869094286736,0.1827 EOS,2.4484 WOOL
25,151727009,151899809,844679170396,0.6650 EOS,23.3053 WOOL
26,151899809,152072609,819091344105,0.9957 EOS,286.8180 WOOL
27,152072609,152215761,685467013590,1.3293 EOS,249.8698 WOOL
28,152215761,152388561,797951018204,0.3677 EOS,43.1500 WOOL
29,152388561,152516868,556398631160,0.4799 EOS,156.4238 WOOL
30,152516868,152560201,177239401085,0.0336 EOS,0.0998 WOOL
